COGNOME;NOME;EMAIL;TELEFONO;
"moukrim";"oberdino";"";"3486574685";"[]"
"Silvestri";"norveglio";"";"'+393485398757";"[]"
"";"odobella";"";"'+393487946273";"[]"
"";"nive";"";"3482303299";"[]"
"Morelli";"olema";"";"3452445002";"[]"
"cecere";"assuntino";"";"3472690579";"[]"
"bugli";"vannina";"";"";"[]"
"basile";"olmo";"";"'+393459367878";"[]"
"avendato";"festilio";"";"3470579253";"[]"
"scarale";"olmina";"";"";"[]"
"Farina";"quintiliana";"";"";"[]"
"scarale";"olmina";"";"'+393499700368";"[]"
"Farina";"quintiliana";"";"3482470523";"[]"
"";"bandinello";"";"3476349872";"[]"
"quartarone";"oselio";"";"'+393477986857";"[]"
"";"gaio";"";"'+393450478290";"[]"
"ahmed el ghandor";"falina";"";"3465033778";"[]"
"Caruso";"osea";"";"'+393459780932";"[]"
"alpi";"toriddo";"";"3483543763";"[]"
"";"ostilio";"";"";"[]"
"";"ostilio";"";"'+393497657353";"[]"
"";"";"";"3459193701";"[]"
"colongi";"elenio";"";"3465091250";"[]"
"simoni";"ietta";"";"3466931630";"[]"
"magalotti";"oleno";"";"3499095552";"[]"
"";"";"";"3455983302";"[]"
"Valente";"ermengilda";"";"'+393494058548";"[]"
"";"marcuccio";"";"'+393485722089";"[]"
"";"bramo";"";"3450983095";"[]"
"sasvari";"";"";"3479899910";"[]"
"de matteo";"imero";"";"3474054689";"[]"
"";"fiorenda";"";"3459408265";"[]"
"";"idalina";"";"";"[]"
"wilmer";"elisabetta";"";"";"[]"
"Guerra";"frasina";"";"'+393478150703";"[]"
"";"ilarino";"";"3456663900";"[]"
"Pinna";"tiberina";"";"3497485897";"[]"
"popovici";"colombano";"";"3486943288";"[]"
"fontana";"fiorigia";"";"3485536858";"[]"
"di sipio";"illidio";"";"3492207191";"[]"
"Lombardo";"fiorito";"";"3459718850";"[]"
"";"illide";"";"3460128683";"[]"
"";"adelo";"";"3466287526";"[]"
"tufano";"isolo";"";"'+393472810851";"[]"
"lopez";"dagoberto";"";"3452235434";"[]"
"sanna";"eliano";"";"3482625914";"[]"
"tufano";"rema";"";"'+393478920100";"[]"
