TELEFONO;EMAIL;NOME;COGNOME
3478405335;salvadora69@hotmail.com;Salvadora;Charaf
3481557120;gaiello@gmail.com;Grazina;Aiello
3485595164;romolo31@libero.it;Romolo;Caraballo
3496732334;s4-p4r1n1@yahoo.com;Savia;Parini
3476785052;desdemona.simoni@libero.it;Desdemona;Simoni
3467651340;pandolfo96@virgilio.it;Pandolfo;Marino
3479674681;ermite04@hotmail.com;Ermite;Casali
3461943309;l-fontana@virgilio.it;Luisetto;Fontana
3493381868;idalco-tosolini@alice.it;Idalco;Tosolini
3498898556;anna-piro@hotmail.com;Annalaura;Piro
3471011769;rodomonte60@gmail.com;Rodomonte;Pereira de castro
3494080082;pascale15@libero.it;Venceslao;Pascale
3478365809;m.lippi@yahoo.com;Magdala;Lippi
3462707857;giovanmaria57@hotmail.com;Giovanmaria;Gatti
3495445444;g3pp1n0.b4gn4t0@virgilio.it;Geppino;Bagnato
3460914196;filimena84@yahoo.com;Filimena;Capitani
3486495662;europa-zavalloni@hotmail.it;Europa;Zavalloni
3460745757;yjyblnutqjdxlbd@yahoo.com;Nazzarena;Panchetti
3487387361;rizzi@gmail.com;Vinicia;Rizzi
3471960384;ivaldodi_mario@libero.it;Ivaldo;Di mario
3459404562;pr1m14bu0ngr4z10@hotmail.it;Primia;Buongrazio
3486316579;laurenti98@gmail.com;Lorito;Laurenti
3473624868;quartarone.bi@libero.it;Biancardo;Quartarone
3454386924;jwefvstictpche@yahoo.com;Aderito;Farina
3475713454;navarro93@virgilio.it;Navarro;Verastegui pereyra
3461231289;coppola78@alice.it;Filira;Coppola
3487581788;roaldo93@virgilio.it;Roaldo;Cagnotti
3499598617;jagmin94@alice.it;Wilelma;Jagmin
3489186774;narciso.de_simone@virgilio.it;Narciso;De simone
3498212686;mauro70@yahoo.com;Lico;Mauro
3486635974;givalentini@gmail.com;Gilla;Valentini
3464041049;fontanella@alice.it;Ardita;Fontanella
3477345474;ermano18@gmail.com;Ermano;Fiumi
3490724388;noyoikameuv@virgilio.it;Fenina;Fralassi
3499715171;vemonti@tim.it;Velio;Monti
3451598730;astra30@gmail.com;Astra;Rimoldi
3483817388;palatano92@libero.it;Eridanio;Palatano
3451507854;ddfwuvpcoixexeavttaf@alice.it;Alferio;Balice
3473042286;e.borrelli@alice.it;Egiziaca;Borrelli
3492197136;stelvia32@libero.it;Stelvia;Lelli
3465117446;el1r0s4t4@yahoo.com;Elido;Rosata
3486295967;baldi34@tim.it;Livinio;Baldi
3454864630;gianluigia67@tim.it;Gianluigia;Abu
3457700396;concettino-cagnotti@libero.it;Concettino;Cagnotti
3451372385;plagiorgetti@virgilio.it;Plautilla;Giorgetti
3484281709;denisa_elenakamal@virgilio.it;Denisa elena;Kamal
3460866777;valente-alde@tim.it;Aldezza;Valente
3496131957;irvano00@tim.it;Irvano;Fralassi
3494400323;de_sterlich-fenina@hotmail.it;Fenina;De sterlich
3478910797;nedio42@gmail.com;Nedio;Franco
3487508417;sanna.femo@hotmail.com;Femo;Sanna
3467680279;piranucci@alice.it;Pio;Ranucci
3464516071;zinnamosca37@hotmail.it;Eschilo;Zinnamosca
3486900155;romani_bergonzo67@hotmail.com;Piermarco;Romani bergonzo
3494557278;fe-marocchini@gmail.com;Fedro;Marocchini
3496838067;fiordalbadi_marco@libero.it;Fiordalba;Di marco
3480282583;vvmmmqafxprmagns@tim.it;Lottario;Popovici
3464560181;edmonda50@yahoo.com;Edmonda;Rosato
