COGNOME;NOME;EMAIL;TELEFONO;
"fraticelli";"costantina";"costantina63@hotmail.com";"3474677702"
"hajji";"prosdocimo";"pro.hajji@alice.it";"3459162251"
"villa";"geremia";"geremia03@hotmail.it";"3469638458"
"delgadillo vargas";"nemorina";"nedelgadillo vargas@virgilio.it";"34858725"
"fiordigigli";"astolfo";"fiordigigli17@gmail.com";"345128264"
"blasi";"ermengilda";"ermengilda@yahoo.com";"3492058086"
"sestito";"lillina";"li-sestito@alice.it";"3452337688"
"veneziani";"alfiera";"alfiera@tim.it";"346679465"
"Guerra";"fiume";"fiGuerra@yahoo.com";"3477710938"
"contiu";"lorenzina";"lorenzina25@virgilio.it";"3473112922"
"tisba";"iacopa";"tisba46@virgilio.it";"3464951977"
"d'amico";"liciano";"licianod'amico@libero.it";"3471309640"
"emili";"liano";"l14n03m1l1@@alice.it";"3482418484"
"cerchierini";"redento";"redentocerchierini@hotmail.it";"347495609"
"alpi";"vitantonia";"vitantonia-alpi@tim.it";"3463703055"
"accadia";"iridio";"iridio80@virgilio.it";"3497502363"
"arlati";"milla";"m-arlati@hotmail.com";"3478334411"
"di santo";"erenio";"ereniodi santo@virgilio.it";"3478298798"
"hijjoui";"alcida";"alcida89@libero.it";"349387219"
"di ruzza";"marialisa";"di ruzza44@libero.it";"3485116730"
"baronti";"accursio";"accu.baronti@yahoo.com";"3496521358"
"Lombardo";"balilla";"balilla.Lombardo@yahoo.com";"3485985075"
"brunetti";"calcedonia";"c.brunetti@alice.it";"348412467"
"Conte";"quintilina";"quintilina54@hotmail.it";"3464418178"
"bello";"tita";"tita36@yahoo.com";"3478113426"
"zavalloni";"miriano";"mi.zavalloni@yahoo.com";"3453553572"
"scotti";"natalizia";"natalizia80@yahoo.com";"3473891501"
"mercantini";"nazaria";"nazaria.mercantini@virgilio.it";"347585193"
"manchia";"griselda";"grimanchia@virgilio.it";"3458772699"
"frasca";"frera";"frera92@yahoo.com";"3459452479"
"veneziani";"lisella";"agqfwrzehlxmfbfrj@alice.it";"3466796152"
"caccamo";"crescenzia";"crescenzia31@gmail.com";"3479099177"
"Fontana";"palmierino";"palmierino21@libero.it";"3456437722"
"Fiore";"fiordalba";"fiordalba@libero.it";"3498034846"
"bianchi";"albarosa";"albarosa-bianchi@yahoo.com";"3478825529"
"Rossetti";"emilietta";"Rossetti30@gmail.com";"3483849132"
"mauro";"oliviano";"oliviano-mauro@hotmail.it";"3487749689"
"campana";"ingenuina";"dyyndxku@tim.it";"3495018160"
"massa";"vito rocco";"vi-massa@hotmail.com";"3461306837"
"tarozzi";"neride";"neride.tarozzi@alice.it";"3494744966"
"rotella";"fibreno";"f.rotella@virgilio.it";"3458747577"
"antonelli";"besso";"antonelli16@alice.it";"3451602287"
"cellini";"melchisedeo";"exmwrfgrh@gmail.com";"3478089713"
"Pagano";"mirio";"miPagano@alice.it";"3464026485"
"veneziani";"filocia";"filocia100@yahoo.com";"3458024520"
"castaldo";"davinio";"castaldo41@alice.it";"3452556174"
"fusini";"levantina";"oqqcfh@alice.it";"3455454123"
"avello";"genisio";"genisio-avello@yahoo.com";"3492362747"
"guidi";"fidelfranco";"guidi66@hotmail.com";"346293718"
"giuliani";"armilla";"giuliani23@hotmail.com";"3467696518"
"Martinelli";"adalgerio";"ada.Martinelli@hotmail.it";"3496209720"
"antosh";"luisi";"luisiantosh@hotmail.it";"3454952534"
"riboloni";"levi";"le.riboloni@tim.it";"3482514463"
"zolnowski";"giannico";"giannico13@gmail.com";"3481585085"
"Mele";"vario";"vario81@hotmail.com";"3483294565"
"Conte";"teresino";"teresino@alice.it";"349121326"
"zenina";"bruna";"bruna29@gmail.com";"348107737"
"trasforini";"wandina";"glepoghwnxr@virgilio.it";"3468547639"
"Sartori";"laurentino";"la-Sartori@libero.it";"34816777"
"sarpieri";"eustochia";"sarpieri30@alice.it";"3497798526"
"zavoli";"didima";"d1d1m4.z4v0l1@tim.it";"3456172154"
"rimoldi";"argentina";"argentina-rimoldi@hotmail.com";"3481814768"
"di carlo";"piramo";"slqoqqpbrrp@hotmail.it";"3483329407"
"mane'";"femo";"fe-mane'@gmail.com";"3479387773"
"conte";"giugno";"gi-conte@virgilio.it";"3471478217"
"Fumagalli";"leoniero";"dtnarezeisgimtnezc@alice.it";"3475911924"
"corrias";"umberta";"umberta90@libero.it";"3469097573"
"bencivenga";"atto";"attobencivenga@yahoo.com";"348384803"
"infante";"ersiglia";"ersiglia84@virgilio.it";"3464752961"
"vinciguerra";"tullia";"tullia06@virgilio.it";"3454798434"
"urbini";"lello";"l.urbini@yahoo.com";"3469463175"
"balloni";"eleuteria";"eleuteria17@gmail.com";"3474454746"
"Conte";"saverino";"saverino73@hotmail.it";"34815363"
"mariani";"eleazzaro";"eleazzaro47@alice.it";"3495868238"
"Russo";"relino";"relino.Russo@tim.it";"3457326896"
"iuliano";"finimunda";"iuliano06@gmail.com";"3481701853"
"Bellini";"goretta";"goretta-Bellini@tim.it";"3495046375"
"lippi";"francia";"gnufyckmjswqzkha@libero.it";"3461332559"
"narducci";"gandolfo";"gandolfo.narducci@virgilio.it";"3496604500"
"barruga";"gabriella";"barruga-gabriella@tim.it";"3456017541"
"rebeccato";"nicolo";"rebeccato73@virgilio.it";"3462201260"
"monsone";"armerina";"4rm3r1n4-m0ns0n3@yahoo.com";"347838320"
"papaleo";"paladina";"papaleo79@alice.it";"3499842875"
"colongi";"trinit‡";"trinit‡colongi@gmail.com";"3477420147"
"esposito";"baldasarre";"baldasarre-esposito@yahoo.com";"3457347622"
"satta";"alidoro";"a.satta@gmail.com";"3464275992"
"Battaglia";"franceschella";"f-Battaglia@yahoo.com";"3466139884"
"Russo";"giuntino";"giuntino@virgilio.it";"3496916652"
"caporilli";"fiorenzino";"fiorenzino.caporilli@yahoo.com";"3482817608"
"giuliani";"cleto";"cgiuliani@alice.it";"3454817638"
"leonetti";"nivea";"leonetti74@gmail.com";"3479268045"
"buongrazio";"felidio";"felidio-buongrazio@libero.it";"3486546894"
"Romano";"maggio";"ma-Romano@alice.it";"3479491992"
"zanellati";"lucia";"lucia30@hotmail.it";"3451027971"
"chaibi";"regio";"yrcsbksdfy@gmail.com";"3451570047"
"palazzari";"amodeo";"a.palazzari@alice.it";"3451582072"
"haji";"michele emilio";"mihaji@alice.it";"3499641591"
"benhadda";"dafne";"benhadda39@gmail.com";"3484371874"
"Perrone";"vida";"Perrone83@alice.it";"3454885212"
"minestrini";"ciro";"ciro.minestrini@yahoo.com";"3492321373"
