COGNOME;NOME;EMAIL;TELEFONO;
"russo";"ramuccio";"ramuccio.71@yahoo.com";"3473622022"
"dallago";"vero";"vero21@libero.it";"3463476191"
"blasi";"domiziano";"domiziano.blasi@alice.it";"3454561202"
"porcu";"favio";"-porcu00@libero.it";"3455820650"
"Riva";"elba";"elba.Riva@hotmail.com";"3457023654"
"caporilli";"reulo";"reulo.caporilli@hotmail.it";"3466718318"
"grebenea";"nice";"nice.grebenea@virgilio.it";"3495486381"
"papaleo";"orintia";"-papaleo89@hotmail.it";"3468468696"
"vandenbulcke";"ultimino";".vandenbulcke61@gmail.com";"3499697805"
"giorgio";"loreto";"loretogiorgio@tim.it";"3468005198"
"zaccaria";"agrippina";"agrippina-zaccaria@libero.it";"3494233336"
"corraretti";"firmino";"firmino.corraretti@hotmail.it";"3476473153"
"Fumagalli";"viera";"viera-20@hotmail.it";"3472741165"
"pasolini";"leonisia";"leonisia-pasolini@gmail.com";"3476029305"
"Ruggiero";"catterino";"catterino.Ruggiero@tim.it";"3496942294"
"biondini";"bettino";"bettino.biondini@tim.it";"3462458647"
"infante";"oleria";"infante62@alice.it";"3457841176"
"quadalti noferini";"ricciotto";"ricciotto.96@alice.it";"3473272782"
"steffenoni";"fidia";"fidiasteffenoni@gmail.com";"3457168126"
"scotti";"dolfino";"dolfino-scotti@hotmail.it";"348914130"
"castaldo";"gioachino";"gioachino-castaldo@virgilio.it";"3485548824"
"de matteo";"bortola";"bortola.de matteo@hotmail.it";"3499011592"
"cutillo";"ruello";"ruellocutillo@libero.it";"3469167294"
"comini";"leonardo";"leonardo-comini@hotmail.it";"3475908942"
"colongi";"foscolo";"foscolo.colongi@hotmail.com";"3456142017"
"Santoro";"donatuccio";"donatuccio.30@hotmail.com";"3479046896"
"bellinzoni";"quintilio";"quintilio.bellinzoni@hotmail.it";"3465280140"
"passitto";"fortuno";"fortuno77@yahoo.com";"3492837218"
"gnani";"giliante";"giliante.gnani@alice.it";"3472267711"
"bonomo";"agatino";"agatino94@tim.it";"3468247502"
"massa";"felse";"felse-massa@virgilio.it";"3493914410"
"amato";"stellario";".amato37@yahoo.com";"3494826420"
"sorrentino";"ostiglio";"ostigliosorrentino@gmail.com";"3469292636"
"Napolitano";"marziale";"marziale-Napolitano@yahoo.com";"3455986989"
"zanelli";"ultimino";"-zanelli82@virgilio.it";"3475836658"
"ferrarese";"annettina";"annettina.ferrarese@virgilio.it";"3467810146"
"sestito";"varnero";"varnero.sestito@tim.it";"345150533"
"Amato";"franzio";"franzio.Amato@hotmail.it";"3452139884"
"dorascenzi";"vieri";".dorascenzi87@yahoo.com";"3463766926"
"di paolo";"ivia";"iviadi paolo@gmail.com";"3487047908"
"Montanari";"venerio";"venerio-23@hotmail.it";"3464708680"
"borgat-wohlbang";"giovanfilippo";"#####";"3455453366"
"clesceri";"robusto";".clesceri05@virgilio.it";"3479105335"
"fontanella";"turido";"turido-fontanella@yahoo.com";"3478371318"
"stefanovich";"irnerio";"#####";"3487547910"
"sementilli";"mattio";"mattio.sementilli@hotmail.it";"3459597760"
"Benedetti";"aden";".Benedetti90@virgilio.it";"3454123861"
"d'amico";"marianna";"marianna.d'amico@hotmail.it";"3468189860"
"filipek";"nemesio";"nemesio.filipek@tim.it";"3455521415"
"rosati";"turidda";"turidda.rosati@gmail.com";"3457879577"
"carullo";"morosina";"morosina-24@virgilio.it";"3486986845"
"steffenoni";"giancarla";"giancarla.steffenoni@yahoo.com";"3451658768"
"wicher";"lucrezia";"#####";"3485643777"
"la sorda";"isido";"isido.34@libero.it";"3468568866"
