COGNOME;NOME;EMAIL;TELEFONO;
"cauteruccio";"amos";"";"'+393460532541";"[]"
"";"contardo";"";"3468738758";"[]"
"";"Cinzo";"";"3878116037";"[]"
"kellmann";"olida";"";"'+393493644384";"[]"
"zapalski";"fedilla";"";"";"[]"
"";"oliviana";"";"3491070827";"[]"
"fusini";"rinaldo";"";"";"[]"
"strazzanti";"fredesvinda";"";"";"[]"
"Donati";"alimo";"";"3474754630";"[]"
"bernardi";"abramo";"";"3498415636";"[]"
"morsiani";"zenio";"";"3455730506";"[]"
"cusin";"solferino";"";"3495768620";"[]"
"mamone";"albizzo";"";"3467145271";"[]"
"corraretti";"bonaventura";"";"'+393455076872";"[]"
"Nizzi";"Rosito";"";"3411107024";"[]"
"sementilli";"foriero";"";"";"[]"
"de santis";"gianluca";"";"'+393492899987";"[]"
"Simonetti";"";"";"'+393456324434";"[]"
"guillen crespo";"moira";"";"";"[]"
"Garofalo";"antoniuccio";"";"'+393450676075";"[]"
"Milutinovic";"";"";"3752725214";"[]"
"colli";"agenore";"";"'+393483655816";"[]"
"haryadi";"reto";"";"'+393463646193";"[]"
"lacerenza";"oriliano";"";"3451961010";"[]"
"";"";"";"3470261690";"[]"
"pelo";"santo";"";"";"[]"
"";"fioridea";"";"3470707871";"[]"
"sanges";"";"";"'+393478650612";"[]"
"alfano";"florindo";"";"'+393487735425";"[]"
"";"";"";"'+393479306115";"[]"
"";"";"";"";"[]"
"romano";"corso";"";"3492273677";"[]"
"";"gianluigi";"";"'+393483211435";"[]"
"eichenberger";"petra";"";"'+393459258341";"[]"
"";"notburga";"";"'+393497103100";"[]"
"urzo";"isadora";"";"3456027860";"[]"
"wilmer";"bonello";"";"3485229495";"[]"
"Martino";"Osia";"";"3293944816";"[]"
"cenciarelli";"feranda";"";"";"[]"
"Giorgio";"Defendi";"";"3084153581";"[]"
"Filagna";"Onella";"";"3849423639";"[]"
"";"onestino";"";"'+393450206454";"[]"
"zanelli";"quarto";"";"'+393471830050";"[]"
"";"adelo";"";"3466287526";"[]"
"";"";"";"3487738866";"[]"
"mamone";"demostene";"";"";"[]"
"sarpieri";"rovereto";"";"'+393464404658";"[]"
"kosek";"";"";"3493206401";"[]"
"";"";"";"'+393456426661";"[]"
"";"ampilio";"";"3497318115";"[]"
"paduano";"fiumana";"";"3462301308";"[]"
"";"faustino";"";"3471575534";"[]"
"Ercolani";"";"";"'+393261584847";"[]"
"";"ferrara";"";"3466333501";"[]"
"";"Fisio";"";"'+393455257374";"[]"
"Carina";"Orsolinda";"";"'+393451984012";"[]"
"Guerra";"frasina";"";"'+393478150703";"[]"
"giurgola";"piacentina";"";"3486112897";"[]"
"";"elisabetta";"";"'+393452407520";"[]"
"";"";"";"3469252114";"[]"
"panchetti";"falco";"";"3461474142";"[]"
"dotti";"mirte";"";"'+393488876345";"[]"
"";"lauredana";"";"'+393492608724";"[]"
"pracucci";"";"";"'+393483351388";"[]"
"";"";"";"'+393471048024";"[]"
"rotella";"fecondo";"";"3490230022";"[]"
"bellettini";"prudente";"";"3477997668";"[]"
"sipio";"fiore";"";"";"[]"
"";"Romaldino";"";"3440955314";"[]"
"piro";"astolfo";"";"'+393495175257";"[]"
"";"";"";"'+393490442245";"[]"
"";"Alcesto";"";"'+393863511092";"[]"
"";"dolorino";"";"'+393475022864";"[]"
"";"betto";"";"";"[]"
"quartarone";"madina";"";"3464636778";"[]"
"biondini";"riego";"";"3486872064";"[]"
"Santoro";"";"";"3484739058";"[]"
"Fratini";"Norida";"";"3131607247";"[]"
"popovici";"delisio";"";"3468001458";"[]"
"battelli";"rodosindo";"";"";"[]"
"Mahu";"";"";"3483924856";"[]"
"bellaneve";"comasio";"";"3451122888";"[]"
"contiu";"gioachina";"";"'+393452787750";"[]"
"";"armenia";"";"3484996857";"[]"
"dolciotti";"";"";"";"[]"
"";"dorindo";"";"";"[]"
"Milani";"";"";"3487553468";"[]"
"delgadillo vargas";"giannico";"";"'+393462449782";"[]"
"";"";"";"3462431185";"[]"
"";"isaldo";"";"3493488024";"[]"
"guidi";"olda";"";"'+393468699620";"[]"
"Finiti";"Alfiera";"";"3574533973";"[]"
