COGNOME;NOME;TELEFONO;EMAIL;
Palmieri;;+393471693267;bellisario69@alice.it
Scardone;Consolato;3461294360;consolato09@yahoo.com
;Gerolama;+393487034921;consolato09@yahoo.com
Ermeti;Dirceo;3485270258;dirceo-ermeti@hotmail.it
;Persilia;3473246148;dirceo-ermeti@hotmail.it
Pucciotti;Nannino;+393453079383;consolato09@yahoo.com
;Odivio;3474010050;odivio14@hotmail.com
Polidori;Magdalo;+393474675177;polidori68@virgilio.it
Marata;;3495518872;
Corrias;Onesto;+393487034921;polidori68@virgilio.it
Guida;Florica;+393475557250;florica-guida@yahoo.com
;Pellegro;+393488113130;cagnotti-pellegro@gmail.com
Barone;Fiordina;3485270258;barone05@libero.it
Vitali;Amaranto;3485270258;4m4.v1t4l1@tim.it
Prelati;Fieramonte;3483110129;
;Veo;3482836938;barone05@libero.it
Amato;Zanella;3487337687;cagnotti-pellegro@gmail.com
Zaccaria;Gerolamo;+393497163081;ge-zaccaria@gmail.com
Del Aguila Rosario;;+393462248704;bellisario69@alice.it
Ceraldi;;3487793104;
Rinaldi;;+393497641071;consolato09@yahoo.com
;Cosma;+393453692700;bellisario69@alice.it
Zamberlan;Sofia;+393480763805;odivio14@hotmail.com
Baragliu;;3453310684;baragliu61@hotmail.com
Resende Azevedo;Consalvo;+393477273896;consalvo.resendeazevedo@virgilio.it
Vannozzi;;3489678963;
;Evanzio;3491254319;consalvo.resendeazevedo@virgilio.it
;Polluce;3456129203;4m4.v1t4l1@tim.it
Messina;;3483302865;dirceo-ermeti@hotmail.it
;Idalmo;3497191100;
Tioni;Eustasio;3461786332;t10n1-3ust4s10@gmail.com
;;3478983787;fi-moretti@libero.it
;Argentina;+393483465637;rucci-arge@hotmail.com
Pellegrino;Italia;+393481933819;pellegrino-ita@tim.it
;Oles;;0l3-d4m0r4@hotmail.it
Gatti;;3496657892;raffaellina63@hotmail.it
;Gioacchina;3471098526;87102357640123@hotmail.it
;Fosco;3490973363;fo.bertini@gmail.com
Coccia;Giovannimaria;3454126856;fi-moretti@libero.it
Nizzi;Celsio;3474499225;nizzi-ce@virgilio.it
Paduano;;3489662390;illuminato13@yahoo.com
Rossetti;Orsa;3470767226;
Niane;Piermaria;;barone05@libero.it
Morselli;;3497347835;morselli-ba@hotmail.it
;Latina;3453961001;l.c4l1g4r1@hotmail.com
Callegarini;Altavilla;+393499761316;morselli-ba@hotmail.it
Carpi Marasco;;;carpimarasco.eddo@hotmail.it
