TELEFONO;COGNOME;NOME;EMAIL
'+39;Carpi marasco;Miriano;fumagalli.qu@hotmail.com
'+39;Sbreni;Miriano;fumagalli.qu@hotmail.com
'+39;Leonetti;Brandino;fumagalli.qu@hotmail.com
'+39;Cecere;Miriano;celinacecere@gmail.com
'+39;Conti;Carmelito;fumagalli.qu@hotmail.com
'+39;Lippi;Oleandra;fumagalli.qu@hotmail.com
'+39;Carpi marasco;Rambaldo;mathlouthi-rambaldo@hotmail.com
'+39;Sbreni;Rambaldo;mathlouthi-rambaldo@hotmail.com
'+39;Carpi marasco;Azzio;fortunato-cattaneo@virgilio.it
'+39;Carpi marasco;Fenelio;di_stefano28@yahoo.com
'+39;Sbreni;Azzio;fortunato-cattaneo@virgilio.it
'+39;Sbreni;Fenelio;di_stefano28@yahoo.com
'+39;Bello;Alfino;belloalfino@hotmail.it
'+39;Longo;Gervasio;gelongo@gmail.com
'+39+39;;Servilia;iernlvyv@alice.it
'+39+393184103948;;;si-sala@hotmail.com
'+39+393227797823;Caruso;Pippo;is3tt4p4nch3tt1@tim.it
'+39+393634334154;;Annibale;
'+39+393745250855;;;fortunata.vannozzi@hotmail.com
'+39+393778844118;Moro;Iacopo;iacopo.moro@alice.it
'+39+393943685802;Paduano;;iernlvyv@alice.it
'+393003639013;;;
'+393011363878;Zaccaria;Nevio;nevio.zaccaria@libero.it
'+393012580339;Comini;;
'+393017012264;Sepe;Ricangelo;s3p3r@hotmail.com
'+393018417902;;Oronzo;d.de_santis@hotmail.com
'+393019757426;Torraca;Teodosio;te.torraca@virgilio.it
'+393025136900;;Oleno;o.mena@tim.it
'+393026028701;Gori;Amadio;erosbreni@virgilio.it
'+393035820375;Placidi;Fortuna;fortuna-placidi@tim.it
'+393043781065;Romagnoli;Ricardo;vilmaro21@tim.it
'+393044418811;Sestito;Zeffirino;z.s3st1t0@virgilio.it
'+393064988676;Rosato;;
'+393067586258;Palumbo;;rufino-palumbo@yahoo.com
'+393071477660;De Santis;;d.de_santis@hotmail.com
'+393072130502;Anklin;Martino;
'+393074427021;Albanese;;
'+393078166618;Linzi;Olfango;dzqckobnt@gmail.com
'+393078166618;;Ribello;r-ercolani@alice.it
'+393092543971;Fico;Acquisto;galli-bonarina@hotmail.it
'+393098218829;;Dalmata;d4.ar3n4@hotmail.com
'+393099058852;Fusini;Nona;
'+393106738176;Zuccherelli;Orfelina;
'+393111003223;Tiglio;Cosmano;andri.pascucci@hotmail.it
'+393116900459;;Quendalina;peppinettodiamantini@libero.it
'+393118130637;;;hossain23@virgilio.it
'+393125985974;Tarani;Nicolo';
'+393127213418;;;crjuoxru@libero.it
'+393143696012;;Obed;
'+393148949360;;Alberto;d.de_santis@hotmail.com
'+393148949360;Sanges;Larino;
'+393148949360;Fontanella;Arriguccio;
'+393149617294;Manchia;Poldo;po.manchia@tim.it
'+393150646447;;Bianco;
'+393156104181;Raqabi;Amberto;di-nini@tim.it
'+393156104181;Mauro;Zopito;zopito.mauro@tim.it
'+393169201737;Bonventre;Nina;
'+393176493890;Pellegrini;;
'+393182807186;Scardone;Tosella;g4br13l4b0nc0mp4gn1@virgilio.it
'+393183007907;Carucci;Tersilia;
'+393184103948;Michilli;Iacobella;sa-ferrara@virgilio.it
'+393193241636;Lazazzera;Goretto;goretto.lazazzera@tim.it
'+393198983746;Bellinzoni;Ovanda;colomboallegro@libero.it
'+393201026732;Pacini;Fermilde;f.pacini@tim.it
