COGNOME;NOME;E-MAIL;TELEFONO
alam;adelmino;adelmino84@hotmail.it;3454605015
Poli;fiumina;;3466140508
De Santis;biasio;;3471072358
olivelli;averardo;adelmino84@hotmail.it;3481979897
Pellegrini;idalo;idalo22@hotmail.com;3475579120
zivkovic;letanzio;;3466403751
moukrim;rizzerio;idalo22@hotmail.com;
coulier;nildo;adelmino84@hotmail.it;3465193821
donatini;iano;;+393474350924
gori;ia;ia-gori@yahoo.com;3496259413
Benedetti;romi;romibenedetti@gmail.com;+393489098209
Gargiulo;eusepio;eusepiogargiulo@hotmail.it;3459284606
barsanti;oser;barsanti83@tim.it;3465193821
minnella;eglo;;+393480011030
valvano;elmo;abcdefgh@gmail.com;3464703585
Sartori;tonino;to.sartori@gmail.com;+393467389177
colonna;rodiano;colonna85@gmail.com;+393489180145
galli;raimondina;raimondina65@hotmail.it;3475711543
rebeccato;cafiero;;3497658295
milenov;marco;marco18@libero.it;+393456013964
zak;beata;beata56@hotmail.com;3490495598
Conti;saverio;;+393489232445
vaccaro;gerasimo;adelmino84@hotmail.it;
palatano;mina;mina27@virgilio.it;3493705642
palatano;loretana;palatano.lo@hotmail.com;3461043392
di mario;birgitta;beata56@hotmail.com;3456002803
Rossetti;raffaella;eusepiogargiulo@hotmail.it;3452753061
mahu;oldo;;+393480988787
callegarini;andreana;a-callegarini@alice.it;3450464580
guida;facondo;facondo-guida@alice.it;3466403751
Villani;orano;villaniorano@hotmail.com;3496844115
Meloni;otella;otella@gmail.com;3488474091
fortini;lussoria;;3487450414
Piccolo;gregoria;;+393491110550
severi;romeno;adelmino84@hotmail.it;+393467482650
minnella;costabile;costabile16@hotmail.com;3450464580
stazzone;dorella;;+393480115343
Pepe;gabriella;;3456807706
bencivenga;domiliano;domilianobencivenga@libero.it;
magalotti;raoul;raoulmagalotti@gmail.com;3478458809
bassano;dolorina;dolorina.bassano@gmail.com;+393486512538
bertini;olfa;olfa92@yahoo.com;+393456096791
el falaki;terzo;terzo.elfalaki@virgilio.it;+393467482650
Bellini;cabirio;cabirio67@libero.it;3493705642
Neri;valenzo;valenzo50@hotmail.it;+393463688806
verastegui pereyra;orintia;abcdef@yahoo.com;3487178649
zolea;salvuccio;facondo-guida@alice.it;+393481875606
ricciolino;antonilla;abcdef@yahoo.com;3489554838
sbreni;piccardo;;3453398285
piga;inna;piga68@yahoo.com;3467584784
rotella;iconio;;3491221394
Fiore;esilio;raimondina65@hotmail.it;
boncompagni;massimiana;abcdef@yahoo.com;3479090570
Amato;gesumino;;3466140508
apreda;garibaldo;g.apreda@libero.it;3478458809
Orlando;faleria;marco18@libero.it;+393467482650
Rizzi;ofelio;ofelio29@hotmail.it;
bello;veridiana;;+393492498590
colombo ;vivetto;abcdefg@virgilio.it;3496993228
casella;ifigenia;piga68@yahoo.com;+393456079896
Marra;alfa;abcdefghijklmn@hotmail.com;
scotti;enea;olfa92@yahoo.com;3497088781
Esposito;aquilina;ofelio29@hotmail.it;+393482468342
Vitale;veronico;mina27@virgilio.it;3469549579
torraca;waltera;eusepiogargiulo@hotmail.it;
bardi;anrico;raimondina65@hotmail.it;
sassi;armilla;;3479641379
