COGNOME;NOME;EMAIL;TELEFONO
Nizzi;;;3402265957
Barsanti;;barsantiala@hotmail.com;3942832619
Lanconelli;Rinello;;3863511092
De Santis;;d.de_santis@hotmail.com;+393071477660
Gentili;Ivaldo;;+393943685802
Brunetti;Enotrio;;3803427833
Bonsignore;Marno;d.de_santis@hotmail.com;+393777950735
Bennada epse herichi;Nivarda;;+393743799519
Di sipio;Lealdo;;+393901126354
Delgadillo vargas;Altobello;;3328002337
Cardinetti;Amedea;amedea34@alice.it;3665759930
Cipollone;Isabelle;;3465147480
;Teresina;teresina69@hotmail.com;3517132338
;;att3nd0l1.c4@libero.it;3075331516
Diamantini;Peppinetto;peppinettodiamantini@libero.it;3328002337
Pia;;redento12@yahoo.com;+393743799519
Ricciolino;Miroslavo;teresina69@hotmail.com;3641705390
;Azolino;a-armaroli@alice.it;3952627580
Donati;;;3233544188
;Raggio;d.de_santis@hotmail.com;3619919036
Hajji;;d.de_santis@hotmail.com;3942832619
Guidi;Rainera;d.de_santis@hotmail.com;
Coluccia;Iselde;;3992150223
Lucani;;fornaretto52@alice.it;3992150223
Piga;;;3521643623
;Nazzaro;;3164524329
;;mena.alfe@libero.it;3626257840
Filippi;Orfea;a-armaroli@alice.it;3606561756
Capanna;Pilerio;;3277699501
;Nicoletta;;3129498160
;Allegro;colomboallegro@libero.it;3794024067
D'ottavio;Corona;;3794024067
;;salvatorino-burla@gmail.com;3274613731
Quartarone;Silfrido;si.quartarone@gmail.com;3500597490
Bertini;Ermenegilda;e.bertini@yahoo.com;3426440378
Mena;;ad0rn4m3n4@libero.it;+393980640343
Fontana;Alvisa;;3343154139
;Ripalta;a-armaroli@alice.it;+393376536749
;Grimoaldo;;3737654838
;Lisina;a-armaroli@alice.it;3773057660
;Ramira;;3741928955
Giannetti;Gaudina;gaudina68@yahoo.com;
Ferrero;Flamino;fornaretto52@alice.it;+393575279127
;Ando;baldiando@alice.it;3068722263
;;pinella60@alice.it;3244942400
Ruggeri;Valentiniano;pinella60@alice.it;3312895212
Martino;;martino@libero.it;+393849759465
Zito;Alcesto;zito41@tim.it;+393863511092
;Licena;;3945490136
Lazazzera;Goretto;goretto.lazazzera@tim.it;+393193241636
;Onio;;
Malagigi;Reziero;;3426391360
;Aureo;;3244942400
Pucciotti;Violo;redento12@yahoo.com;
Cattaneo;Fortunato;fortunato-cattaneo@virgilio.it;3804393750
Coppola;Odemia;redento12@yahoo.com;
Rizzo;Ennia;ennia-rizzo@hotmail.com;3075331516
Finiti;;;3919163498
Milenov;Fera;;3185072625
Domenicali;Ianna;d.de_santis@hotmail.com;3602473520
Riva;Felina;felina81@tim.it;3426440378
;Geltrudo;g-gori@gmail.com;3955371063
Boes;Silvano;;3768147977
;Marialuigia;;3199139494
;Rinuccia;r1nucc14.r1b0l0n1@yahoo.com;3466679414
Sanna;Corrada;d.de_santis@hotmail.com;3515424124
Tarani;Uggero;;
;Piero;;+393736996023
Tiranno;Ermentino;e-tiranno@gmail.com;3794024067
Boncompagni;Gabriela;g4br13l4b0nc0mp4gn1@virgilio.it;3071595245
Fumagalli;;;3439718082
;Robertina;;3466679414
Bruni;;bruni97@hotmail.it;+393403917356
Laurenti;;;3239326268
;Neria;neria67@alice.it;+393682519908
;Milone;nbqabzbuqya@alice.it;3215181342
;;franceschittafiniti@libero.it;3149925887
Palazzari;Catena;gtubflsie@libero.it;3540285907
Mele;;;+393501943702
Infante;Adelco;;+393972881016
Rebeccato;Adilio;;3442110074
De bacco;Stalin;sffomk@yahoo.com;3083540308
Zavalloni;Guerina;;
Ercolani;Palmiero;baldiando@alice.it;3574382385
;Coltura;a-armaroli@alice.it;3439718082
Leonetti;Brandino;;+39
Emili;Berardino;;+393862990601
;Oronzo;d.de_santis@hotmail.com;+393018417902
Paduano;;iernlvyv@alice.it;+39+393943685802
Albanese;Dionigi;;3831996668
Zak;Guida;;3765284624
;Camilla;caccamo69@hotmail.it;+393678856544
;Ermelino;ermelino13@alice.it;
;;g4br13l4b0nc0mp4gn1@virgilio.it;3570314991
Cellini;Oranta;fornaretto52@alice.it;3998959240
;Leuterio;l3ut3r10g1ur4@gmail.com;3878472157
;Sabatino;sa-ferrara@virgilio.it;3833674522
Pellegrini;;;3117819587
Castelli;Liberio;liberio57@yahoo.com;3623709112
;Fiorentino;fiorentino50@hotmail.com;+393919122466
;Andrietta;andri.pascucci@hotmail.it;3039850058
Sgrigna;Valiero;valiero03@virgilio.it;3916166649
;Contardo;iernlvyv@alice.it;+393626257840
;Naide;;3693340120
Colli;Nazzaro;;+393608974124
Laurenti;Adalgiso;laurenti.adalgiso@yahoo.com;
;Anella;a-riva@tim.it;3380976889
Scardone;Tosella;g4br13l4b0nc0mp4gn1@virgilio.it;+393182807186
;Idalmo;ida.montanari@virgilio.it;3622191147
Lunerti;Vinicio eurus;;3167514381
;;a-sala@gmail.com;3878472157
;Bigio;b1.s1m0n3tt1@hotmail.com;3849681321
Capitani;;;+393966136840
;Signora;signora.wozniczka@tim.it;3595176643
;Quirica;;
Zanella;Santuzza;santuzza91@hotmail.it;3246038817
Renzulli;;avelino.renzulli@tim.it;3322120171
