COGNOME;NOME;E-MAIL;TELEFONO
boubaker;danta;;3472652514
nizzi;giberto;ginizzi@libero.it;3497238328
;geri;ginizzi@libero.it;
bazzocchi;eleano;;3497238328
d'amora;flauto;ginizzi@libero.it;
Testa;odinella;odinella59@virgilio.it;+393498703144
di paolo;aliviero;odinella59@virgilio.it;3460071456
brizi;genoveffo;genoveffo00@alice.it;3472652514
sassetti;;t.sassetti@hotmail.com;3457548068
;mosharaf;;3456782303
Rossi;foscola;genoveffo00@alice.it;+393450772235
;athos;;+393453732244
Giorgi;denise;;+393457028715
williams;lucinda;lucinda76@hotmail.it;3482165301
olivelli;donaldo;donaldo12@gmail.com;3488810166
ortu;spartaco;ortu93@gmail.com;+393460054456
sartori;carissimo;carissimo-sartori@yahoo.com;+393492802555
sorrentino;;t.sassetti@hotmail.com;3452372672
;;demetriagiorgi@tim.it;+393480645471
;;nozavoli@virgilio.it;3452878456
;reziere;;3466824813
bassani;;crescenzo@gmail.com;+393457028715
;zarina;crescenzo@gmail.com;+393495886265
;;ve.bartolucci@libero.it;+393498703144
tiranno;;tiranno99@hotmail.com;3486847043
;leonina;crescenzo@gmail.com;+393488737721
esposito;italiano;esposito29@hotmail.it;3486486816
zavalloni;moraldo;demetriagiorgi@tim.it;3464051523
bonomo;gianpaolo;gianpaolo23@alice.it;3486486816
;;;3480186310
Guidi;zaverio;;
;palmiro;gnani32@yahoo.com;+393458004257
Giuliani;nello;carissimo-sartori@yahoo.com;+393473147776
;galeana;baldinotti.galeana@alice.it;3485724285
Carbone;consolato;ortu93@gmail.com;3497238328
crognale;veneto;;3483413033
Albanese;ormanno;tiranno99@hotmail.com;3463773754
zecchini;;;3485352428
Bellini;fiumina;fiumina65@hotmail.com;3485751100
giurgola;umbertino;umbertino17@tim.it;3467300487
policarpo;fervido;fervido18@hotmail.it;3495260536
taifi;;italia37@tim.it;3456782303
wicher;ottimo;;3468771436
zavoli;algiso;;
porta;retto;abcdefg@hotmail.com;+393497726211
Ricciardi;turino;;3481600152
lazar;telmo;ve.bartolucci@libero.it;3471304765
stefanovich;lemmo;tiranno99@hotmail.com;3486410116
coulier;frazia;;3474118233
Santoro;effrem;effresantoro@tim.it;
quadalti noferini;leonisio;quadaltinoferini83@gmail.com;3463188083
;orisia;;
Gallo;;demetriagiorgi@tim.it;3454847238
Santoro;;dazegliosantoro@hotmail.it;3452878456
;eusapia;;3458465646
;onofrio;odinella59@virgilio.it;3453065672
tambini;alboino;italia37@tim.it;
lunerti;oderzo;;
;;ermentinotioni@yahoo.com;3463773754
;rambaldo;;+393493531140
Palumbo;;palumboroviglio@libero.it;3471075067
harasymiuk;medino;;3474300461
Caruso;evita;e.caruso@virgilio.it;3450060177
jebrane;oderio;oderio-jebrane@hotmail.com;3462540782
montevecchi;camilla;;+393498021248
veneziani;maristella;carissimo-sartori@yahoo.com;3453238365
sanna;;igidio48@tim.it;+393475885282
campana;oddino;oddinocampana@libero.it;3466022813
;dolorinda;;+393482262035
;odena;odinella59@virgilio.it;3474118233
Palmieri;lapo;lapo100@gmail.com;+393493531140
;;carletta24@libero.it;+393475824273
paduano;tarsillo;oddinocampana@libero.it;3493488024
siapian;palestina;;+393487486818
coccia;fanola;fanola51@hotmail.it;3471071783
zenina;fedelica;fedelica.zenina@hotmail.it;3452025030
ossati;terza;terza83@virgilio.it;+393482668350
nicastro;duilio;duilio-nicastro@alice.it;3492650382
delgado;fiova;fiova66@hotmail.it;+393464656438
Donati;alimo;a.donati@tim.it;3474754630
giuliani;dalcisio;t.sassetti@hotmail.com;+393497726211
;isaldo;isaldo43@hotmail.it;3493488024
antosh;sostine;oderio-jebrane@hotmail.com;
;liviero;;3470052541
Franco;maruzzo;;3478524420
la bella;aiuto;;
esposito;femide;fesposito@hotmail.it;3470542688
;oldano;abcdefghijklm@alice.it;3463773754
massa;;gelasio.massa@alice.it;+393483218460
;;;3464821183
;polda;polda80@gmail.com;
;turidda;;3495375486
cannizzaro;bortolo;fanola51@hotmail.it;+393458058371
sementilli;;cloride.sementilli@hotmail.com;3472835056
boes;cassio;boes74@hotmail.it;3454036056
delgado;nila;;3486486816
;minuccio;;
tosolini;;igidio48@tim.it;3484738020
ceraldi;oldrado;oldrado04@gmail.com;
Parisi;;;+393488525562
diacetti;custode;ve.bartolucci@libero.it;+393467280182
giurgola;;;+393492403623
;andreina;a-guillencrespo@tim.it;3476380064
;ermello;odinella59@virgilio.it;+393478645724
;ilaria;bagnato65@hotmail.com;3460867746
De Santis;liseo;abcdefghijklm@gmail.com;3450718462
rudel;letanzio;palumboroviglio@libero.it;3487330775
cichon;nina;cichon@hotmail.com;+393453633245
ciervo;wania;;3493260853
;;f.lesniewska@gmail.com;3474553462
buccolieri;santo;a-guillencrespo@tim.it;3455000162
;duccia;ermentinotioni@yahoo.com;3473878044
zenina;pericle;;3485062414
diacetti;algemiro;;3485062414
gori;tamaro;;3452568226
;aladina;petritoli29@hotmail.it;3487330775
casadei;alfina;donaldo12@gmail.com;3460046347
Ferretti;deonisio;gianpaolo23@alice.it;3490007286
;;elda78@gmail.com;3482250518
iachini;plauto;igidio48@tim.it;
;ideo;effresantoro@tim.it;3471023428
haji;;genoveffo00@alice.it;3495260536
Bruni;;esposito29@hotmail.it;
wally;mara;ma.wally@yahoo.com;+393456338026
frasca;udilia;igidio48@tim.it;+393451050707
iuliano;sigismunda;oldrado04@gmail.com;3480754141
;india;ginizzi@libero.it;
iachini;sirto;duilio-nicastro@alice.it;+393486724650
russo;menio;me.russo@tim.it;+393464811164
;germanino;germanino31@alice.it;+393476055164
hijjoui;fondina;gelasio.massa@alice.it;3472616317
;pacina;abcdefghijklmnopq@tim.it;+393465614051
passitto;averio;averio-passitto@virgilio.it;+393451786671
gentili;simona;gentili93@libero.it;3453008011
Coppola;ferrantino;bagnato65@hotmail.com;3498670763
santana moscato;;santanamoscato-me@libero.it;3458276654
veneziano;linneo;veneziano73@alice.it;3467643807
Mariani;redea;;3458738455
tosolini;;myrta.tosolini@hotmail.com;+393488332523
colongi;;addamiano-colongi@hotmail.it;3453274803
vaccaro;tesio;tesiovaccaro@libero.it;+393461003644
;;abcdefghijklmnopq@tim.it;
mincuzzi;gallia;;3483586452
Pastore;fallerio;t.sassetti@hotmail.com;3487644055
;;davida89@libero.it;
de peppe;;fiova66@hotmail.it;3468738758
cardinetti;;aristidina67@hotmail.com;+393456837136
Vitali;dima;;+393464805275
sasvari;folema;sasvari67@tim.it;+393457528311
popovici;fiorelinda;popovici-fi@libero.it;+393492806660
sasvari;eda;eda-sasvari@yahoo.com;+393483668334
narducci;abela;;3493015135
;orma;orma.mezzogori@tim.it;+393483216052
papaleo;aria;;
haryadi;alam;;3450418430
