COGNOME;NOME;TELEFONO;EMAIL
;ofemia;;
;chiarastella;;
baronti;reiner;3483676150;
;fidelia;3476687014;
coluccia;maria laura;3476687014;marialaura@alice.it
;nardina;3470420223;
alam;ippolita;3476687014;
guida;fidardo;;marialaura@alice.it
minuz;;3457383303;
giorgetti;arzelio;+393464160052;
di pasquale;fiorena;3470420223;abcdefghijklmnopq@tim.it
spoletini;rigo;+393451385132;
spoletini;ermano;3470420223;ermano65@libero.it
;;3463175376;ermano65@libero.it
zapalski;maggiorina;3470776852;maggiorina45@yahoo.com
eichenberger;valda;3464360356;abcdefghijklmnopq@tim.it
rudel;nazzario;3456713172;abcdefghijklmnopq@tim.it
zito;rubina;3476687014;
wally;valter;+393495783881;v-wally@tim.it
De Luca;wilia;+393482006154;
domenicali;;3464360356;ermano65@libero.it
Grimaldi;ortenzia;;orte.grimaldi@libero.it
policarpo;egiziana;3464360356;policarpo.egi@hotmail.it
fraticelli;;;policarpo.egi@hotmail.it
Mazza;wolfrano;+393450721677;maggiorina45@yahoo.com
;lisanna;3476783181;lisanna58@gmail.com
balice;;3477342643;
;;3491358040;
bagnato;;+393474502273;v-wally@tim.it
;ezzelina;3491426382;maggiorina45@yahoo.com
balloni;eudemia;+393461440831;balloni.eudemia@hotmail.com
vidanalage;fortunella;;marialaura@alice.it
mirante;alceo;3491426382;
;arzenio;3470142265;ermano65@libero.it
poni;vivenzia;3476687014;vivenzia00@libero.it
;camillo;3494574318;camillo-caraballo@alice.it
Greco;verio;+393487288437;vegreco@hotmail.com
De Santis;surujjaman;;policarpo.egi@hotmail.it
;;3490347247;orte.grimaldi@libero.it
capanna;fortuna;;lisanna58@gmail.com
lucchi;ecla;3450870410;lucchi06@alice.it
;;+393495783881;svezia-corrado@gmail.com
;lucia;3456270452;v-wally@tim.it
Romeo;;3497535832;ornelio04@alice.it
;castrenza;+393456343666;
mane;quirino;;quirino16@hotmail.com
blasi;reale;3473277837;reale16@alice.it
fico;allegrina;3486060522;fico64@alice.it
freschi ;pisana;3496543065;vivenzia00@libero.it
vassura;riviera;3464360356;ri-vassura@gmail.com
grebenea;felse;3470518673;fe-grebenea@yahoo.com
;olmes;+393466058628;svezia-corrado@gmail.com
luzietti;ruffa;3453445775;rluzietti@hotmail.it
bonsignore;lillina;3456006651;bonsignore40@hotmail.com
maroncelli;pazienza;+393483856138;pazienza08@gmail.com
;principe;3477841311;principe50@alice.it
castagna;mercurio;;abcdefghijklmnopqr@libero.it
;rigo;;
;donata;3494331420;dnizzi@tim.it
martino;etelvoldo;3471061643;principe50@alice.it
guillen crespo;arsilia;3473234475;abcdefghijklmn@alice.it
orlandi;;3497556451;svezia-corrado@gmail.com
;renardo;;abcdefghijklmnop@alice.it
robbio;saturnino;3487181881;saturnino13@libero.it
parini;mita;+393464160052;abcdefghijklm@hotmail.it
;reggiano;3451007018;guidi-reggiano@virgilio.it
;pamela;+393457260205;pamela01@gmail.com
;olivetto;3472137614;olivetto61@hotmail.com
paolini;oscher;3474870342;oscher.paolini@virgilio.it
zak;bujar;+393456252755;z4kbuj4r@virgilio.it
panichi;rionero;;maggiorina45@yahoo.com
;filinda;3473167518;filinda71@tim.it
fazi;gentilino;+393484416636;
taifi;valtere;+393476576040;orte.grimaldi@libero.it
burla;;3467861548;lepanto27@yahoo.com
;grimalda;+393463044758;
romani bergonzo;mariuccina;;romanibergonzo.mariuccina@alice.it
