COGNOME;NOME;EMAIL;TELEFONO
 ; ; . @yahoo.com;347910500
 ;aderito;aderito. @gmail.com;+393488512837
usami;pinuccia;aderito. @gmail.com;3495635727
mirante; ; .mirante@virgilio.it;3455131822
gnani;arianno; .mirante@virgilio.it;3455131822
 ;prospero;aderito. @gmail.com; 
wirth;ignazia;ignazia.wirth@libero.it;3494351617
apa;annuccia;annuccia.apa@gmail.com;3457880297
Gatti; ; ;347910500
huaman lopez;frida;frida.huaman lopez@yahoo.com;3474976949
Ruggiero; ; ;3452447357
minuz;olves;olves61@hotmail.com;3491930637
porta; ; ;3472341656
harasymiuk;erasma;aderito. @gmail.com;+393479538722
 ;menina;menina. @virgilio.it;3495249771
gindre;ranieri;olves61@hotmail.com;+393486087067
 ;conforto;conforto. @hotmail.it;348233789
simonetti; ; .simonetti@hotmail.it;3496573076
fabbrizi;terzia;terzia.fabbrizi@hotmail.com;+393487205083
sanna;giusepe;giusepe.sanna@virgilio.it;3461656092
Fontana; ; ;349367040
sepe;mabrouk; ;+393487205083
 ;valdemaro;conforto. @hotmail.it;3457880297
 ; ;frida.huaman lopez@yahoo.com;3456816283
Monti;oliverio; ;3469101593
Pozzi;alidoro;alidoro.Pozzi@hotmail.com;+393494053120
blasi;magda;magda.blasi@libero.it;3461656092
 ;fabbiola; .simonetti@hotmail.it;+393494622038
 ;omes;omes. @hotmail.com;+393465779964
 ;evangelino;evangelino. @gmail.com;3497346763
fusini; ; .fusini@libero.it;3454579613
 ; ; . @yahoo.com;+39345511912
popovici; ;popovici41@alice.it;3461656092
lacerenza;ignazina;frida.huaman lopez@yahoo.com;3473650602
romani bergonzo;adamina;conforto. @hotmail.it;3471769421
 ;demostene;terzia.fabbrizi@hotmail.com;3455066110
 ;annunzio;aderito. @gmail.com; 
 ; ; . @gmail.com;+393485658126
 ;rodano;rodano. @gmail.com;3484139950
bento da silva;niceta; ;+393459031988
marata;fiorlisa;fiorlisa.marata@hotmail.com;3484718683
Lombardi;anzio;anzio.Lombardi@libero.it;+393474902300
 ;elisia;elisia. @yahoo.com;+393479133541
serban; ; ;3487851968
prelati;angiolo;angiolo.prelati@gmail.com; 
vella; ;omes. @hotmail.com;3499021797
Bruni;cadmo;cadmo.Bruni@virgilio.it;+393475688211
fontanella;cicerone;cicerone.fontanella@virgilio.it;+393463852353
 ; ;aderito. @gmail.com;+393487205083
fratini;narcisio; ;+393456095637
 ;felicitas; ; 
