TELEFONO;EMAIL;NOME;COGNOME
3473622022;ramuccio.71@yahoo.com;ramuccio;russo
3463476191;vero21@libero.it;vero;dallago
3454561202;domiziano.blasi@alice.it;domiziano;blasi
3455820650;-porcu00@libero.it;favio;porcu
3457023654;elba.Riva@hotmail.com;elba;Riva
3466718318;reulo.caporilli@hotmail.it;reulo;caporilli
3495486381;nice.grebenea@virgilio.it;nice;grebenea
3468468696;-papaleo89@hotmail.it;orintia;papaleo
3499697805;.vandenbulcke61@gmail.com;ultimino;vandenbulcke
3468005198;loretogiorgio@tim.it;loreto;giorgio
3494233336;agrippina-zaccaria@libero.it;agrippina;zaccaria
3476473153;firmino.corraretti@hotmail.it;firmino;corraretti
3472741165;viera-20@hotmail.it;viera;Fumagalli
3476029305;leonisia-pasolini@gmail.com;leonisia;pasolini
3496942294;catterino.Ruggiero@tim.it;catterino;Ruggiero
3462458647;bettino.biondini@tim.it;bettino;biondini
3457841176;infante62@alice.it;oleria;infante
3473272782;ricciotto.96@alice.it;ricciotto;quadalti noferini
3457168126;fidiasteffenoni@gmail.com;fidia;steffenoni
348914130;dolfino-scotti@hotmail.it;dolfino;scotti
3485548824;gioachino-castaldo@virgilio.it;gioachino;castaldo
3499011592;bortola.de matteo@hotmail.it;bortola;de matteo
3469167294;ruellocutillo@libero.it;ruello;cutillo
3475908942;leonardo-comini@hotmail.it;leonardo;comini
3456142017;foscolo.colongi@hotmail.com;foscolo;colongi
3479046896;donatuccio.30@hotmail.com;donatuccio;Santoro
3465280140;quintilio.bellinzoni@hotmail.it;quintilio;bellinzoni
3492837218;fortuno77@yahoo.com;fortuno;passitto
3472267711;giliante.gnani@alice.it;giliante;gnani
3468247502;agatino94@tim.it;agatino;bonomo
3493914410;felse-massa@virgilio.it;felse;massa
3494826420;.amato37@yahoo.com;stellario;amato
3469292636;ostigliosorrentino@gmail.com;ostiglio;sorrentino
3455986989;marziale-Napolitano@yahoo.com;marziale;Napolitano
3475836658;-zanelli82@virgilio.it;ultimino;zanelli
3467810146;annettina.ferrarese@virgilio.it;annettina;ferrarese
345150533;varnero.sestito@tim.it;varnero;sestito
3452139884;franzio.Amato@hotmail.it;franzio;Amato
3463766926;.dorascenzi87@yahoo.com;vieri;dorascenzi
3487047908;iviadi paolo@gmail.com;ivia;di paolo
3464708680;venerio-23@hotmail.it;venerio;Montanari
3455453366;#####;giovanfilippo;borgat-wohlbang
3479105335;.clesceri05@virgilio.it;robusto;clesceri
3478371318;turido-fontanella@yahoo.com;turido;fontanella
3487547910;#####;irnerio;stefanovich
3459597760;mattio.sementilli@hotmail.it;mattio;sementilli
3454123861;.Benedetti90@virgilio.it;aden;Benedetti
3468189860;marianna.d'amico@hotmail.it;marianna;d'amico
3455521415;nemesio.filipek@tim.it;nemesio;filipek
3457879577;turidda.rosati@gmail.com;turidda;rosati
3486986845;morosina-24@virgilio.it;morosina;carullo
3451658768;giancarla.steffenoni@yahoo.com;giancarla;steffenoni
3485643777;#####;lucrezia;wicher
3468568866;isido.34@libero.it;isido;la sorda
349244588;eola-72@virgilio.it;eola;castagna
3452172414;vieriburla@alice.it;vieri;burla
3497873068;rino-20@yahoo.com;rino;Piazza
3485789545;-soro47@alice.it;meschino;soro
3475990972;redentoPastore@hotmail.it;redento;Pastore
3475669696;-Marino45@alice.it;pinetta;Marino
347223367;mieke t.h..Coppola@hotmail.it;mieke t.h.;Coppola
3483404975;.Riva24@alice.it;pasino;Riva
3488399820;gentiliazurzolo@hotmail.com;gentilia;zurzolo
3491680389;#####;arriga;von oppen
3477172942;rosata21@tim.it;morosina;rosata
3454330027;.avello91@alice.it;leone;avello
3471264332;bonifazio-15@hotmail.it;bonifazio;eichenberger
3455326233;-iachini51@yahoo.com;nea;iachini
3492927018;mirano-burla@yahoo.com;mirano;burla
3491821700;datoassal@virgilio.it;dato;assal
3496756020;#####;eleano;harasymiuk
3492868920;#####;esmeralda;cannizzaro
3476514927;.d'ambrosio43@gmail.com;reginaldo;d'ambrosio
3451476285;nemo.Costantini@hotmail.com;nemo;Costantini
3477159990;spalletta08@tim.it;reneo;spalletta
3462949049;ortesio-zanella@hotmail.com;ortesio;zanella
347441579;giura40@gmail.com;richelmo;giura
3483512770;fausto.51@tim.it;fausto;bennada epse herichi
3497257572;jole28@yahoo.com;jole;gentilini
3461333643;ducci73@tim.it;ezelinda;ducci
3463318458;india.ciampaglia@alice.it;india;ciampaglia
3453967191;erica luisanizzi@hotmail.com;erica luisa;nizzi
3467058149;eleana.spoletini@gmail.com;eleana;spoletini
3455465077;averio.cavaterra@libero.it;averio;cavaterra
3461860329;.guzman soriano55@alice.it;eraclita;guzman soriano
3477884266;damasca.fabiani@alice.it;damasca;fabiani
3468984070;mercuriaDe Santis@virgilio.it;mercuria;De Santis
3469990447;.capitani21@libero.it;noredino;capitani
3455458971;dioscoride.rainesi@alice.it;dioscoride;rainesi
3491323625;consolina.iuliano@libero.it;consolina;iuliano
3492941270;oriede-giuliani@alice.it;oriede;giuliani
3464009257;olianna-bencivenga@gmail.com;olianna;bencivenga
3452612398;-ortu04@virgilio.it;faustina;ortu
3451218293;ubertosantucci@tim.it;uberto;santucci
3462904174;floredanoNeri@tim.it;floredano;Neri
3471016126;.ghazi37@alice.it;jano;ghazi
3486785278;doviglia-valvano@alice.it;doviglia;valvano
3474260262;raimondo maria.romagnoli@libero.it;raimondo maria;romagnoli
347380635;carlina.caniglia@gmail.com;carlina;caniglia
3494087665;oldino.laurenti@hotmail.it;oldino;laurenti
